"Code";"Mnémonique";"Libellé";"Définition";"Statut";"Création";"Modification"
"0";"Facile";"Facile";"Facile : Il est facile d'accéder au site.";"Validé";"08/04/2016";"08/04/2016"
"1";"Difficile";"Difficile";"Difficile : Il est difficile d'accéder au site.";"Validé";"08/04/2016";"08/04/2016"
"2";"Impossible";"Impossible";"Impossible : L'accès au site n'est pas possible.";"Validé";"08/04/2016";"08/04/2016"
