"Code";"Mnémonique";"Libellé";"Définition";"Statut";"Création";"Modification"
"Non";"Non";"Non";"Non : il n'est pas nécessaire d'avoir une autorisation pour accéder au site géologique.";"Validé";"08/04/2016";"08/04/2016"
"Oui";"Oui";"Oui";"Oui : il est nécessaire d'avoir une autorisation préalable pour accéder au site géologique.";"Validé";"08/04/2016";"08/04/2016"
